time,precip,site,version,selected_lat,selected_lon
1981-09-08,0.17589939,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-09,0.24818018,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-10,0.23704971,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-11,0.026724096,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-12,0.07779741,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-13,0.007101665,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-14,0.49773544,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-15,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-16,0.3911914,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-17,0.43308154,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-18,0.10853866,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-19,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-20,0.65421766,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-21,0.32549572,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-22,0.067209825,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-23,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-24,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-25,0.07852755,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-26,0.099120565,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-27,0.019665895,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-28,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-29,0.39163908,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-30,0.70251495,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-01,0.062189754,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-02,0.2003905,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-03,0.35679847,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-04,0.02569587,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-05,0.19576652,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-06,0.21556614,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-07,0.084376104,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-08,0.3200508,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-09,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-10,0.13177311,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-11,0.1384702,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-12,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-13,0.26216397,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-14,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-15,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-16,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-17,0.8813612,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-18,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-19,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-20,0.065569624,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-21,0.1580371,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-22,0.6381428,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-23,0.43236503,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-24,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-25,0.025640659,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-26,1.160305,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-27,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-28,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-29,0.026682774,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-30,0.080993064,Shukkloc,PISCO_v2,-9.65,-77.75
1981-10-31,1.0646172,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-01,2.3864162,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-02,1.9935585,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-03,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-04,35.106644,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-05,0.1271271,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-06,0.62179214,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-07,0.27018157,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-08,0.9307691,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-09,6.2230406,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-10,32.229153,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-11,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-12,0.4977771,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-13,0.92976195,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-14,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-15,0.5473306,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-16,0.6634357,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-17,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-18,0.69304717,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-19,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-20,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-21,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-22,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-23,0.101054855,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-24,0.9965115,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-25,0.9116805,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-26,0.41314605,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-27,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-28,0.11445441,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-29,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-11-30,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-01,0.71247894,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-02,0.042363632,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-03,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-04,0.6414919,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-05,1.0486565,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-06,5.6907635,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-07,8.333536,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-08,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-09,0.037961632,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-10,0.83926564,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-11,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-12,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-13,5.3313503,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-14,0.60558987,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-15,0.8658255,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-16,0.8457264,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-17,0.18804371,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-18,0.0011054927,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-19,0.1332606,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-20,0.23689805,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-21,0.075628966,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-22,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-23,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-24,2.820957,Shukkloc,PISCO_v2,-9.65,-77.75
